GOID,Title,Date,Publisher,sent_of_interest,Sourcetype,Year,claude_category,group
1851280871,Democrats Add Fresh Faces to Senate Banking Committee; The panel's Democratic contingent will shift to the left with three new members,12/22/2016,Dow Jones & Company Inc.,"Without Mr. Schumer, who some liberals view warily due to his relationships in the financial industry, New York will lack its traditional presence on the Banking Committee. Kurt Walters, the campaign director for the liberal group Demand Progress, hailed the changes on the committee and gave Mr. Schumer, often a target for criticism, credit for listening to the left flank of the party. ""[Mr. Schumer's] absence as a vote on the committee makes a small difference, but what's far more important is that he is showing that he has a willingness to listen to progressives and respond to the energy in the party's base,"" Mr. Walters said in an interview. ""With Democrats trying to regain their footing as the party of economic populism, it's important to have strong voices in favor of Wall Street reform,"" he added. Representatives for Mr. Schumer didn't respond to requests for comment. Write to Gabriel T. Rubin at  gabriel.rubin@wsj.com Credit: By Gabriel T.",Newspapers,2016,"person, group, ideology","['Democrats', 'progressives']"
1841846645,Albania Country Risk Report - Q1 2017,1/1/2017,Fitch Solutions Group Limited,"Political risks in developed markets (DM) have been elevated this year, with the UK's EU referendum in June, US elections in November and the Italian constitutional referendum in December. This uncertainty will continue into 2017, amid the beginning of the UK's process to exit the EU and the French 


Austerity Has Peaked,


But Populism Is Not Yet Policy


 Global real GDP growth forecast revised down for 2017


 UK revised up on better-than-expected data; US growth to disappoint in 2017


 EM growth revisions mainly to the downside, including for Nigeria, Poland and Saudi Arabia


 Fiscal austerity has peaked in developed markets, but substantial easing unlikely


TABLE: GLOBAL ASSUMPTIONS


 2015


2016f 2017f 2018f 2019f 2020f


Real GDP Growth (%)


US 2.4


1.5 1.8 2.0 1.8 1.8 Eurozone 2.0


1.5 1.4 1.5 1.5 1.6 Japan 0.4


0.6 0.5 0.6 0.6 0.5 China 6.9


6.3 5.9 5.8 5.6 5.3 World 2.8


2.4 2.7 2.9 2.9 3.0


Consumer Ination (ave)


US 0.4


1.8 2.5 2.0 2.1 2.1 Eurozone 0.1


0.5 1.3 1.7 1.8 1.8 Japan 0.8


0.4 1.6 2.5 2.8 2.9 China 1.6


1.8 2.3 2.5 2.5 2.5 World 2.1


2.6 3.0 2.9 2.9 2.9


Interest Rates (eop)


Fed Funds Rate 0.25


0.25 0.50 1.00 1.75 2.00 ECB Renancing Rate 0.05


0.00 0.00 0.00 0.00 0.25 Japan Overnight Call Rate 0.10


0.00 0.00 0.00 0.00 0.25


Exchange Rates (ave)


USD/EUR 1.11


1.07 1.05 1.02 1.00 1.00 JPY/USD 121.03


107.00 105.00 107.59 109.20 110.84 CNY/USD 6.28


6.65 6.95 7.10 7.10 7.10


Oil Prices (ave)


OPEC Basket (USD/bbl) 49.77


42.50 52.00 65.00 62.00 64.00 Brent Crude (USD/bbl) 53.60


45.50 55.00 68.00 65.00 67.00


f = BMI forecast. Source: BMI


Business Monitor International Ltd www.bmiresearch.com


39


ALBANIA Q1 2017


and German elections. One unifying point in each of these elections is the rise of economic populism, with sluggish economic growth and rising inequality stoking anti-establishment movements. Thus far, however, populism has yet to translate into signicant shifts in economic policy. There has been a shift in the discourse away from expansive but increasingly limited monetary policy easing and towards scal expansion. 


This shift has been modest, however.",Other Sources,2017,"ideology, group",['anti-establishment movements']
3113229623,"PA. RACES SPARKING HISTORIC SPENDING NATION'S WEALTHIEST DONORS FLOOD RECORD AD DOLLARS INTO PRESIDENTIAL, SENATE BATTLES",10/6/2024,Pittsburgh Post - Gazette,"Another, WinSenate, has shelled out about $65 million to boost Mr. Casey's chances - more than any other single group. In blistering commercials that have aired across the state, the Republican-backed ads have savaged Mr. Casey over inflation - a top issue for most voters and key weakness for Democrats, according to polls. In a darker ad, Mr. Casey is blamed for the failure of immigration policies that allowed an undocumented immigrant in Philadelphia to assault a child, one GOP group claims. For the Democrats, WinSenate's campaign has targeted the blue-collar workers who have long been a key base of Democratic support but who, in recent elections, were attracted by former President Donald Trump's economic populism. Over ominous music, the WinSenate ads spotlight Mr. McCormick's wealth with images of private jets and his sprawling Connecticut mansion, and accuse him of outsourcing American jobs as a CEO and rich hedge fund manager. This surge in spending has followed a dramatic shift in the way most Americans vote - a trend that has left the country polarized. In most states, the outcome is frequently a foregone conclusion because one party's voters far outnumber the other.",Newspapers,2024,"group, ideology",['blue-collar workers']
1928356639,Rigid party strategies pave lane for an outsider,8/13/2017,Owensboro Messenger Inquirer,"His media cheerleaders increasingly define conservatism not as adherence to any program, but as personal loyalty to Trump. Hence the rising call from figures such as the recently suspended Fox News host Eric Bolling to purge the party of ""RINOs"" (Republicans In Name Only) who are critical of the president. If Trump had an approval rating in the high 50s instead of numbers that bounced around in the 30s, following this advice would not threaten the fragile GOP majority. The Democrats have settled on economic populism as their unifying theme, not so much because that's where all the passion is but because they can't agree on any other agenda that would enlarge their coalition. The GOP, in turn, is shrinking its ideological commitments -- and appeal -- and focusing instead on populist rage and the president's cult of personality. Both courses leave vast swaths of the electorate up for grabs. As a result, there's the potential for an opening in 2020 for some opportunistic figure -- Mark Zuckerberg?",Newspapers,2017,"person, group, ideology",['Democrats']
3126802411,"'The backlash proves my point:' As Democrats engage in finger-pointing, Seth Moulton remains steadfast",11/12/2024,"Boston Globe Media Partners, LLC","“But activists want there to be only one way to be progressive. And that's not just a problem for the advocates, it's a problem for those they purport to represent.”Democrats to Moulton's left have offered very different assessments of where they think their party went wrong and what they see as the path forward.US Senator Elizabeth Warren, whose presidential campaign was famously built on her “having a plan for everything,” published a “plan to fight back” in Time Magazine on Thursday.While Harris “deserves credit for running an inspiring campaign under unprecedented circumstances,” Warren wrote, she urged Democrats to “unrig the economy” to win back working-class voters.She called on Democrats to step up oversight efforts in Congress, fight Trump in the courts, get involved at the grassroots level, and, most pressingly, for the Senate to use the remaining time before the new Congress takes office to confirm federal judges and key regulators while they still have power.Her assessment was similar to, though less scathing than, one offered by progressive Vermont Senator Bernie Sanders of Vermont. Sanders, who has drawn criticism in recent days for bashing party leadership, wrote in a Globe op-ed on Sunday that “Democrats lost this election because they ignored the justified anger of working-class America and became the defenders of a rigged economic and political system.”The two New England senators' takes on the election, which align neatly with their personal policy preferences, show how legislators have retreated to their party factions as they assign blame for Democrats' overwhelming losses.Representative Jake Auchincloss, another moderate Democrat in the state's congressional delegation, told the Globe on Monday that in his district — where one of the biggest cities, Fall River, voted for a Republican for the first time in a century — there was “a sense that Democrats are not working for them.”Asked about Moulton's assessment of where Democrats were missing the mark, Auchincloss declined to directly address his colleague's take.”We certainly need to be able to have hard conversations as a party,” he said. “I'm actually less worried, though, about where Democrats are debating things, and I'm more worried about where they seem to be in strong agreement.”He pushed back on what he saw as Democrats looking to “dial up economic populism” and cautioned against “trying to backpedal into a MAGA-lite party.” The party, he said, needs to put forth a more “authentic agenda,” which would include items such as balancing the budget, securing the southern border, and building more affordable housing.Those in the LGTBQ+ community said in the end, by singling out the transgender community, whatever his motives, Moulton played into the GOP agenda, rather than effectively critiquing the Democratic one.“You have joined [the Trump agenda],” Giselle Byrd, a trans advocate and executive director of Boston's The Theater Offensive said of Moulton. “Congressman Moulton's comments are not only riddled with transphobia, but they send a message of fear-mongering throughout this country in a time where we are already experiencing that.”Matt Stout and Anjali Huynh of the Globe staff contributed to this report.",Newspapers,2024,"person, policy, group, ideology","['progressives', 'working-class America']"
1718593770,Democrats Find That Anti-Establishment Isn't Just a G.O.P. Theme,10/3/2015,New York Times Company,"The disaffection among Democrats flows mainly from three sources, according to interviews with voters and strategists. Disappointment lingers with President Obama over the failure to break up big banks after the Great Recession and fight for single-payer health insurance, among other liberal causes. Fatigue with Mrs. Clinton's controversies endures, as does distaste with her connections to the rich. And anger abounds at party leaders for not pursuing an ideologically pure, economically populist agenda. ""Establishment Democrats like Hillary could end up heavily outspending people like Sanders, but it may not matter as much as usual because voters are searching for someone off the beaten path,"" said Paul Maslin, who was the pollster for Howard Dean's 2004 presidential race. Tom Henderson, the Democratic chairman in Polk County, Iowa, which includes Des Moines, said the most widely shared frustration among Democrats there was ""the manner in which the economy has bounced back"" under Mr. Obama: Wall Street returns look strong and unemployment has declined, but wages and benefits are largely unchanged. ""I think Sanders is pulling in voters who aren't typical rank-and-file Democrats, but rather folks who have become energized over the last few years to change the country's direction,"" said Mr. Henderson, who is currently neutral in the race.",Web Resources,2015,"person, ideology, group",['Democrats']
1676581596,Sanders is 'running ... to win',4/30/2015,Gannett Media Corp,"""There's no doubt Sen. Sanders will force a spirited discussion within the Democrat Party on the issues, something Hillary Clinton has sought to avoid in her pursuit of a coronation,"" said RNC press secretary Allison Moore. Democratic National Committee spokeswoman Holly Shulman said Democrats ""expect a competitive primary for the Democratic nomination."" Sanders will bring populism to the Democratic primary, said a spokesman for the Progressive Change Campaign Committee. ""The goal of many progressives in 2016 is to ensure that the election is fought over big, bold, economic populist ideas like expanding Social Security benefits, a national goal of debt-free college, Wall Street reform, public financing of campaigns and creating millions of clean-energy jobs,"" said Adam Green, the group's co-founder. ""Bernie Sanders will certainly help pull the debate in that direction."" Some progressive groups said they are still hoping for Sen. Elizabeth Warren of Massachusetts to seek the Democratic nomination. Warren has said she does not intend to run for president.",Newspapers,2015,"person, policy, group, ideology","['progressives', 'Progressive Change Campaign Committee']"
2341446558,BATSUKH: America needs a free trade party,1/20/2020,"Uloop, Inc.","With the pronounced benefits of free trade and the current era of unmatched prosperity the world enjoys as a result of globalization, politicians should champion this most pluralistic institution. However, they have failed to adequately fight for freer trade. President Donald Trump ran on renegotiating NAFTA, and has almost assuredly succeeded in passing the more protectionist United States-Mexico-Canada Agreement with flying bipartisan colors. The unholy matrimony of labor interests and right wing economic populists that flocked to trade restrictions after the passage of NAFTA in 1994 has finally come to fruition. Today’s GOP has largely abandoned its former alliance with Reaganite free trade in favor of tariffs on allies and trade wars with China. This has had measured adverse effects on the very sectors meant to be aided by protectionist policy — manufacturing and agriculture. There is some promise still on the right side of the aisle, such as Senator Chuck Grassley’s (R-Iowa) suggestion that the executive’s authority to levy tariffs could be reduced.",Newspapers,2020,"person, policy, group","['labor interests', 'not Republicans']"
1510742747,IOWA POLITICS INSIDER,3/28/2014,Gannett Media Corp,"The same Washington-based group endorsed state Rep. Pat Murphy in his race for the 1st Congressional District. The committee called Murphy, a former speaker of the Iowa House, a prairie populist and a ""bold"" progressive. The group's president, Adam Green, cited Murphy's support for ""expanding Social Security benefits, holding Wall Street accountable, and Elizabeth Warren's economic populist agenda."" The group says it has nearly 6,300 members in Iowa and close to 1 million nationwide. -- Jennifer Jacobs and Sharyn Jackson Bailing or baling, Iowa farmers know The Braley campaign misspelled a couple of basic Iowa-farm-related words -- detasseling and baling -- in its news release defending the U.S. Senate candidate's street cred with farms and farmers. A sharp-eyed Des Moines Register editor noticed that the news release said: ""Bruce grew up in rural Iowa and worked on Iowa farms, detassling corn and bailing hay."" Braley aides wrote the news release to try to tamp down criticism that Braley insulted farmers in caught-on-video remarks at a private fundraiser in Texas earlier this year.",Newspapers,2014,"person, group, ideology",['progressives']
1958166881,A Post-Obama Democratic Party in Search of Itself,11/1/2017,New York Times Company,"“When I was recruiting candidates, I’d get yelled at: ‘Why is he getting all these sheriffs and military guys?’ It’s because they were running in red districts!”
The election cemented Emanuel’s legend as a tactician — none of the Democrats attending the July 27 meeting expressed skepticism about his advice — but his strategy has never sat well with the party’s progressive activists. “I would just point to the fact that Rahm Emanuel’s Democrats who won in 2006 couldn’t hold those seats,” Stephanie Taylor, a founder of the Progressive Change Campaign Committee (P.C.C.C.), which supports, trains and funds candidates, told me. She was referring to the nearly a dozen Democrats who rode the 2006 wave into Congress, only to wash back out of it with the Tea Party wave four years later. (Three more had lost in 2008.) “I would suggest a counterfactual,” she went on: “If we had true economic populist champions who made the case to the American people about fighting for a strong economic agenda, we might have had more lasting success.” Or as the P.C.C.C.’s other founder, Adam Green, put it to me: “If there’s a Democratic wave in 2018, progressives won’t just ride that wave — we will cause that wave.”
Of course, activists like Green and Taylor also vowed to be the tip of the party’s spear in the previous cycle, with not much to show for it. Indeed, the Breitbart chairman and former Trump adviser Steve Bannon scornfully likens the Democrats’ ideological tussles to a “pillow fight,” further charging that progressives will never accomplish their goals “until they have a Breitbart on the left,” he told me. “Our stock in trade is going after the Republican establishment. There’s no one like that on the other side.”
Most if not all Democrats are more than happy to watch Bannon’s kamikaze antics wreak havoc on the opposition.",Web Resources,2017,"person, group","['progressives', 'P.C.C.C.']"
