GOID,Title,Date,Publisher,sent_of_interest,Sourcetype,Year,claude_category,policy
1432241574,The Morning Plum: Delusions and lies about Obamacare come back to haunt GOP leaders,9/13/2013,WP Company LLC d/b/a The Washington Post,"It looks like we may be heading for a public fight between the White House and Senate Dems over Summers. This, despite the fact that Janet Yellen would mean a far easier. As Hirsh notes, she would ""undoubtedly win overwhelming confirmation and was recently rated the Fed's most accurate forecaster since 2009 on issues from growth to jobs to inflation."" * WHY A DE BLASIO VICTORY IS SO IMPORTANT: Paul Krugman's column today notes that political conditions on the federal level don't allow for any serious effort to address the widening inequality that will continue to be a defining characteristic of our time. As Krugman notes, a Bill de Blasio mayoralty will allow a test of progressive economic solutions -- like universal prekindergarden paid for by taxing the rich -- and will tell us whether ""de Blasio's unexpected rise is the leading edge of a new economic populism that will shake up our whole political system."" What else?",Web Resources,2013,"person, policy, ideology","['universal prekindergarden', 'taxing the rich']"
2043018222,Trump Caves to Drug Industry on Price Controls,5/23/2018,Creators Syndicate,"It contained nothing that will threaten its enormous profits nor anything that will slow down relentless price increases. As president-elect, Trump accused drug companies of ""getting away with murder."" As president, Trump has become an accessory to that murder. 
It was yet another broken populist campaign promise, joining ""great health care,"" putting coal miners back to work, a trillion-dollar infrastructure plan and more. Trump has kept his promise to crack down on immigrants, but the economic populism has proved to be a mirage. 
Of course that doesn't mean he won't try to fool people into thinking otherwise: ""Everyone involved in the broken system - the drugmakers, insurance companies, distributors, pharmacy benefit managers and many others - contribute to the problem,"" Trump said. ""Government has also been part of the problem because previous leaders turned a blind eye to this incredible abuse.""

All of that is true, but the one key to dealing with the problem is to recognize that everything stems from the upfront price that drugmakers charge and there's no way to keep them honest. 
Medicare accounts for more than a third of the $360 billion spent on prescription drugs each year.",Newspapers,2018,"person, policy, ideology","['regulation of drug prices', 'healthcare reform', 'infrastructure spending']"
1767617812,Bernie Sanders rallies supporters in Virginia,2/24/2016,Gannett Media Corp,"-- Sen. Bernie Sanders brought his presidential campaign to a Super Tuesday state on Tuesday, telling supporters there's ""a lot of pain"" touching every demographic in the country. ""We are listening,"" he said. The Vermont independent said his economic populist agenda aims to pay workers a higher minimum wage, provide pay equity for women, and reform the criminal justice, immigration and campaign finance systems. ""What our campaign is about is not getting advice from millionaire campaign contributors,"" Sanders told a crowd of about 4,500 gathered at Scope Arena. ""I don't have millionaire campaign donors. We are able, then, to listen to ordinary people."" Virginia is one of 11 states that will hold Democratic primaries or caucuses on March 1.",Newspapers,2016,"person, policy, ideology","['higher minimum wage', 'pay equity for women', 'criminal justice reform', 'immigration reform', 'campaign finance reform']"
2012882282,"In Indiana, tariffs blessing and curse",3/12/2018,Gannett Media Corp,"Indiana's manufacturers have a different view. Many of those businesses use steel in their products, or sell their goods to other countries that might retaliate if the tariffs spark a  trade war. ""Since these manufacturing companies are such a large share of income and jobs in Indiana, it is likely that the Indiana economy would suffer from the tariffs even though we do produce aluminum and steel,"" said Wally Tyner, an agricultural economics professor at Purdue University. That dichotomy helps explains why, in a state Trump won by 19 percentage points on an economic populist message, public officials are so divided over his policy. Indiana's Republicans, who have championed free-trade policies for years, have mostly praised Trump's effort to stand up for American steelworkers, while also pressing the president to take a more tailored approach. Take  Gov. Eric Holcomb.",Newspapers,2018,"person, policy",['trade protectionism']
1697496472,Benzinga: How Donald Trump Is Outpacing The GOP Pack,7/21/2015,Newstex,"According to Kaltbaum, he has highlighted ""75,000 pages in tax code and...federal regulations."" Trump, and advocate for tax reform, believes in a ""Reaganomics"" approach -- cutting taxes on wealthy people will confer benefits to the entire public. 

Kaltbaum believes that voters have been willing to forgive Trump for his public gaffes, acknowledging that his missteps were probably honest mistakes. ""I don't think many people actually think Trump is a racist or hates veterans.""


At the end of the day, said Kaltbaum, Trump's mantra is simple: ""Enough is enough.""


Actual Policy


Ideological appeal aside, many commentators worry that Trump lacks a well-defined strategy and thorough understanding of public policy. 

""Trump's economic platform is an incoherent mix of half-baked ideas and economic populism that are not in touch with modern financial, demographic and social realities,"" Joe Brusuelas, Chief Economist at McGladrey LLP, told Benzinga. 

He also worries that Trump doesn't adequately understand the current state of the commodities market and would likely escalate international economic tensions ""at a time when leadership is at a premium."" Indeed, he attacked President Barack Obama for visiting China last year and has accused Japan of currency manipulation. 

But until now, Trump has largely been able to avoid questions of specific policy while still drawing attention to his personal and ideological charisma. Nevertheless, it is likely that his specific platform will be put under a magnifying glass during GOP debates...should he make it that far.",Web Resources,2015,"person, policy, ideology","['tax reform', 'trade protectionism']"
3126802411,"'The backlash proves my point:' As Democrats engage in finger-pointing, Seth Moulton remains steadfast",11/12/2024,"Boston Globe Media Partners, LLC","“But activists want there to be only one way to be progressive. And that's not just a problem for the advocates, it's a problem for those they purport to represent.”Democrats to Moulton's left have offered very different assessments of where they think their party went wrong and what they see as the path forward.US Senator Elizabeth Warren, whose presidential campaign was famously built on her “having a plan for everything,” published a “plan to fight back” in Time Magazine on Thursday.While Harris “deserves credit for running an inspiring campaign under unprecedented circumstances,” Warren wrote, she urged Democrats to “unrig the economy” to win back working-class voters.She called on Democrats to step up oversight efforts in Congress, fight Trump in the courts, get involved at the grassroots level, and, most pressingly, for the Senate to use the remaining time before the new Congress takes office to confirm federal judges and key regulators while they still have power.Her assessment was similar to, though less scathing than, one offered by progressive Vermont Senator Bernie Sanders of Vermont. Sanders, who has drawn criticism in recent days for bashing party leadership, wrote in a Globe op-ed on Sunday that “Democrats lost this election because they ignored the justified anger of working-class America and became the defenders of a rigged economic and political system.”The two New England senators' takes on the election, which align neatly with their personal policy preferences, show how legislators have retreated to their party factions as they assign blame for Democrats' overwhelming losses.Representative Jake Auchincloss, another moderate Democrat in the state's congressional delegation, told the Globe on Monday that in his district — where one of the biggest cities, Fall River, voted for a Republican for the first time in a century — there was “a sense that Democrats are not working for them.”Asked about Moulton's assessment of where Democrats were missing the mark, Auchincloss declined to directly address his colleague's take.”We certainly need to be able to have hard conversations as a party,” he said. “I'm actually less worried, though, about where Democrats are debating things, and I'm more worried about where they seem to be in strong agreement.”He pushed back on what he saw as Democrats looking to “dial up economic populism” and cautioned against “trying to backpedal into a MAGA-lite party.” The party, he said, needs to put forth a more “authentic agenda,” which would include items such as balancing the budget, securing the southern border, and building more affordable housing.Those in the LGTBQ+ community said in the end, by singling out the transgender community, whatever his motives, Moulton played into the GOP agenda, rather than effectively critiquing the Democratic one.“You have joined [the Trump agenda],” Giselle Byrd, a trans advocate and executive director of Boston's The Theater Offensive said of Moulton. “Congressman Moulton's comments are not only riddled with transphobia, but they send a message of fear-mongering throughout this country in a time where we are already experiencing that.”Matt Stout and Anjali Huynh of the Globe staff contributed to this report.",Newspapers,2024,"person, policy, group, ideology",[]
2021919120,Sanders Plays Down Long Odds,2/29/2016,Dow Jones & Company Inc.,"But he said that ""we're looking to the future -- not looking back,"" and that while ""it's going to be a tough fight, I think we can pull it off."" 

On Saturday in South Carolina, Hillary Clinton, the Democratic front-runner, won 74% of the vote to 26% for Mr. Sanders, a Vermont senator. 

Mr. Sanders on CBS predicted his campaign would do well in several states holding Democratic contests on Tuesday, including Minnesota, Colorado, Oklahoma, Massachusetts and Vermont. 

Looking further ahead, Mr. Sanders said he could win the delegate-rich states of California, Michigan and New York. 

On Sunday in Oklahoma City, Mr. Sanders fired up the crowd with his signature brand of economic populism, calling for a higher minimum wage, increased Social Security benefits, paid family leave, government-guaranteed health care for all and tuition-free college. He begged voters to turn out at the polls. 

""The only way we make changes is when millions of people stand up and fight back,"" Mr. Sanders told an audience filled with cheering young people. 

Support among younger votes was a bright spot in the South Carolina contest for Mr. Sanders, who predicted that his left-of-center politics would prove appealing as the contest heads beyond the four early nominating states.",Newspapers,2016,"person, policy, ideology","['higher minimum wage', 'increased Social Security benefits', 'paid family leave', 'Medicare for All', 'free public college']"
746120088,Successor To Cuomo May Change Job's Focus,8/21/2010,New York Times Company,"Yet their focus is clearly narrower. Mr. Brodsky would use the attorney general's jurisdiction over charitable institutions to sue the New York Independent Systems Operator, a nonprofit organization set up by the power industry that controls the daily wholesale price of electricity. Mr. Brodsky argues that the organization in effect fixes prices, costing New Yorkers over $2 billion in excess energy costs.   In an interview, Mr. Brodsky, a self-styled economic populist, said he would also seek to be more active on local environmental issues, like pollution of the Hudson River, than Mr. Cuomo.   ""Indian Point is the worst polluter in the state,"" said Mr. Brodsky, who led a private lawsuit that compelled the State Department of Environmental Conservation to tighten regulation this year of polluted water discharged from the nuclear power plant, which lies along the Hudson. ""Instead of just filing an amicus brief on some of these cases, which is what Andrew has done, the attorney general should be bringing some of these suits.""   Similarly, while Mr. Spitzer became famous for headline-grabbing battles against prominent Wall Street executives like Richard A. Grasso and Kenneth G.",Newspapers,2010,"person, policy",['corporate reform']
2547195105,The pluses and minuses of Bidenism,7/1/2021,WP Company LLC d/b/a The Washington Post,"He hasn't been associated with some school of thought or particular wing in the Democratic Party, and as a senator and vice president, he never had the power to implement his own vision. Now, five months into his presidency, we have a better sense of President Biden's inclinations and priorities. So here's my view of the good and bad of Bidenism. First, the good:

Economic populism. When Biden announced his $1.9 trillion economic stimulus plan before his inauguration, I assumed this was a negotiating posture. Surely, he would come down to $1 trillion, maybe $1.3 trillion. I am still shocked that legislation became law at that number.",Web Resources,2021,"person, policy",['economic stimulus']
1676581596,Sanders is 'running ... to win',4/30/2015,Gannett Media Corp,"""There's no doubt Sen. Sanders will force a spirited discussion within the Democrat Party on the issues, something Hillary Clinton has sought to avoid in her pursuit of a coronation,"" said RNC press secretary Allison Moore. Democratic National Committee spokeswoman Holly Shulman said Democrats ""expect a competitive primary for the Democratic nomination."" Sanders will bring populism to the Democratic primary, said a spokesman for the Progressive Change Campaign Committee. ""The goal of many progressives in 2016 is to ensure that the election is fought over big, bold, economic populist ideas like expanding Social Security benefits, a national goal of debt-free college, Wall Street reform, public financing of campaigns and creating millions of clean-energy jobs,"" said Adam Green, the group's co-founder. ""Bernie Sanders will certainly help pull the debate in that direction."" Some progressive groups said they are still hoping for Sen. Elizabeth Warren of Massachusetts to seek the Democratic nomination. Warren has said she does not intend to run for president.",Newspapers,2015,"person, policy, group, ideology","['expanding Social Security', 'free public college', 'Wall Street reform', 'campaign finance reform', 'clean energy jobs']"
